feature,coefficient,abs_coefficient
domain_c_seq_36_max,2.865167505599995e-06,2.865167505599995e-06
domain_b_seq_74_max,-1.1512532664393187e-06,1.1512532664393187e-06
domain_c_seq_34_mean,-6.6130072181442e-07,6.6130072181442e-07
item_int_feats_16,5.922152720818935e-07,5.922152720818935e-07
user_dense_feats_62_mean,5.714248548287236e-07,5.714248548287236e-07
domain_b_seq_72_mean,4.6620603129875285e-07,4.6620603129875285e-07
domain_b_seq_72_max,2.492288042646361e-07,2.492288042646361e-07
domain_b_seq_73_mean,1.4834917345774025e-07,1.4834917345774025e-07
item_int_feats_7,-1.2043812969474352e-07,1.2043812969474352e-07
domain_c_seq_29_max,8.470014014761982e-08,8.470014014761982e-08
domain_b_seq_71_mean,6.519805990411155e-08,6.519805990411155e-08
user_int_feats_66_mean,5.7321224071106e-08,5.7321224071106e-08
domain_c_seq_31_mean,-4.5577870412179736e-08,4.5577870412179736e-08
domain_c_seq_35_mean,3.3740177958294374e-08,3.3740177958294374e-08
domain_a_seq_42_mean,-2.4361535328829474e-08,2.4361535328829474e-08
item_int_feats_6,2.1650793099307026e-08,2.1650793099307026e-08
domain_a_seq_39_mean,-1.943149107886725e-08,1.943149107886725e-08
domain_c_seq_47_mean,1.8741812311445077e-08,1.8741812311445077e-08
domain_a_seq_39_max,1.693364758168714e-08,1.693364758168714e-08
domain_d_seq_18_mean,1.591211402539973e-08,1.591211402539973e-08
domain_c_seq_35_len,1.4772769904614575e-08,1.4772769904614575e-08
domain_c_seq_36_len,1.4772769904614575e-08,1.4772769904614575e-08
domain_c_seq_37_len,1.4772769904614575e-08,1.4772769904614575e-08
domain_c_seq_34_len,1.4772769904614575e-08,1.4772769904614575e-08
domain_c_seq_33_len,1.4772769904614575e-08,1.4772769904614575e-08
domain_c_seq_32_len,1.4772769904614575e-08,1.4772769904614575e-08
domain_c_seq_47_len,1.4772769904614575e-08,1.4772769904614575e-08
domain_c_seq_31_len,1.4772769904614575e-08,1.4772769904614575e-08
domain_c_seq_30_len,1.4772769904614575e-08,1.4772769904614575e-08
domain_c_seq_27_len,1.4772769904614575e-08,1.4772769904614575e-08
domain_c_seq_29_len,1.4772769904614575e-08,1.4772769904614575e-08
domain_c_seq_28_len,1.4772769904614575e-08,1.4772769904614575e-08
user_int_feats_65_mean,1.4409279739029776e-08,1.4409279739029776e-08
user_int_feats_57,-1.2118787028996324e-08,1.2118787028996324e-08
domain_c_seq_30_mean,-1.1194329139413892e-08,1.1194329139413892e-08
domain_b_seq_77_max,3.0324592151341207e-09,3.0324592151341207e-09
user_int_feats_64_mean,2.3013754430336085e-09,2.3013754430336085e-09
item_int_feats_9,1.1265930765968059e-09,1.1265930765968059e-09
user_int_feats_93,-1.013092779834863e-09,1.013092779834863e-09
domain_b_seq_75_max,8.742498398806972e-10,8.742498398806972e-10
user_int_feats_80_mean,7.096493721320161e-10,7.096493721320161e-10
item_int_feats_13,5.56702953086292e-10,5.56702953086292e-10
domain_c_seq_28_mean,4.519980136555704e-10,4.519980136555704e-10
domain_c_seq_28_max,3.5988268277540354e-10,3.5988268277540354e-10
domain_c_seq_33_max,1.8245708193617492e-10,1.8245708193617492e-10
user_int_feats_97,1.623858894423449e-10,1.623858894423449e-10
user_int_feats_96,-1.385470347478267e-10,1.385470347478267e-10
domain_d_seq_17_max,1.1540329920723986e-10,1.1540329920723986e-10
domain_a_seq_41_mean,-3.3444742603078334e-11,3.3444742603078334e-11
domain_c_seq_33_mean,3.1332398507098064e-11,3.1332398507098064e-11
