feature,importance
domain_c_seq_28_max,0.027253687
user_dense_feats_66_mean,0.022529088
item_int_feats_13,0.016604995
user_int_feats_64_mean,0.016459802
domain_a_seq_43_max,0.016360078
user_int_feats_86,0.016105099
domain_c_seq_27_max,0.015703218
item_int_feats_5,0.015064243
domain_d_seq_20_max,0.015032317
user_int_feats_107,0.01502975
domain_b_seq_75_max,0.011608301
domain_c_seq_29_max,0.01152801
user_int_feats_62_mean,0.011146666
domain_c_seq_47_mean,0.011118753
user_dense_feats_64_mean,0.011098294
domain_b_seq_71_mean,0.010858308
domain_c_seq_31_max,0.010658592
domain_c_seq_29_len,0.010215836
domain_a_seq_41_mean,0.010114315
user_int_feats_80_mean,0.010006029
user_int_feats_15_mean,0.009992136
user_dense_feats_90_mean,0.00997532
item_int_feats_7,0.009780171
domain_a_seq_42_mean,0.009724411
domain_a_seq_45_mean,0.009607214
domain_d_seq_23_max,0.009523522
domain_a_seq_42_max,0.00939702
item_int_feats_12,0.009377013
domain_a_seq_43_mean,0.009373838
domain_c_seq_34_mean,0.009215421
domain_b_seq_72_mean,0.009214657
domain_d_seq_18_mean,0.009124281
domain_a_seq_46_mean,0.008909009
user_dense_feats_91_mean,0.008885722
domain_c_seq_32_mean,0.008630569
user_int_feats_48,0.008525081
domain_c_seq_36_max,0.008511323
domain_c_seq_33_mean,0.0084584635
domain_a_seq_44_max,0.008391939
domain_c_seq_35_mean,0.008363582
user_int_feats_57,0.008306473
user_int_feats_93,0.008285591
user_dense_feats_65_mean,0.008178627
domain_c_seq_30_mean,0.008164982
item_int_feats_6,0.008099623
user_int_feats_54,0.0080631785
domain_c_seq_37_max,0.00791193
domain_b_seq_71_max,0.0078630205
user_int_feats_65_mean,0.0077395593
item_int_feats_8,0.0074923136
user_int_feats_97,0.007342104
domain_c_seq_31_mean,0.0072236517
domain_c_seq_36_mean,0.0072185122
domain_c_seq_27_mean,0.007181043
user_int_feats_106,0.007124979
user_int_feats_53,0.007024011
domain_b_seq_88_max,0.0070088566
domain_c_seq_27_len,0.0069932826
domain_b_seq_77_max,0.006861064
domain_d_seq_22_mean,0.0067755557
domain_d_seq_20_mean,0.006760681
domain_c_seq_30_max,0.006744733
domain_c_seq_35_max,0.0067329733
domain_c_seq_28_mean,0.006730028
user_dense_feats_62_mean,0.0066397125
domain_d_seq_21_max,0.0065924902
user_int_feats_82,0.0065836874
user_dense_feats_61_mean,0.006506667
item_int_feats_16,0.0063965726
domain_d_seq_24_mean,0.0063704657
domain_b_seq_78_mean,0.006302669
domain_b_seq_88_mean,0.0062258006
domain_a_seq_40_mean,0.0061847377
domain_d_seq_17_mean,0.006177265
user_int_feats_66_mean,0.0061598187
item_int_feats_10,0.006157853
domain_a_seq_39_mean,0.0061299936
user_int_feats_92,0.0060629984
user_int_feats_56,0.0060415976
domain_b_seq_76_mean,0.0058213407
domain_b_seq_69_len,0.0057259887
user_int_feats_4,0.005660102
domain_b_seq_73_max,0.0056552915
item_int_feats_9,0.0056337444
domain_b_seq_75_mean,0.0056273816
domain_a_seq_45_max,0.005537121
domain_c_seq_37_mean,0.0055327737
item_int_feats_11_mean,0.0055097826
domain_b_seq_67_max,0.0054679154
domain_a_seq_38_max,0.0054377182
domain_d_seq_19_mean,0.0053979894
domain_a_seq_44_mean,0.0053818286
user_dense_feats_87_mean,0.0053593656
user_int_feats_59,0.005152199
domain_c_seq_47_max,0.0051368265
domain_b_seq_67_mean,0.005062676
domain_b_seq_73_mean,0.0049637463
user_int_feats_52,0.004893664
user_int_feats_96,0.0048768497
domain_b_seq_79_max,0.0048716506
domain_b_seq_70_mean,0.0048386008
domain_a_seq_38_mean,0.0047631
domain_b_seq_70_max,0.004719156
domain_b_seq_74_mean,0.004620257
domain_d_seq_26_max,0.004535727
domain_b_seq_68_mean,0.004506749
domain_b_seq_69_max,0.004402483
domain_d_seq_22_max,0.0042869393
domain_b_seq_76_max,0.0041861
user_int_feats_108,0.004181034
domain_a_seq_39_max,0.004156929
domain_b_seq_74_max,0.0038508114
domain_b_seq_78_max,0.0037954152
domain_d_seq_25_mean,0.0037922151
item_int_feats_81,0.0036790855
user_int_feats_3,0.0035868562
domain_c_seq_29_mean,0.0035554192
domain_c_seq_34_max,0.003466593
domain_d_seq_23_mean,0.00346063
user_int_feats_58,0.0034355898
user_int_feats_55,0.0033834002
domain_b_seq_69_mean,0.0033439526
domain_b_seq_72_max,0.0032713567
domain_b_seq_68_max,0.0032629017
user_dense_feats_89_mean,0.0032601135
domain_a_seq_39_len,0.003221413
user_int_feats_105,0.0031889959
domain_d_seq_21_mean,0.0031151245
user_int_feats_63_mean,0.0030976648
user_int_feats_103,0.0030771408
domain_d_seq_17_len,0.0030414315
user_int_feats_94,0.0030393281
domain_b_seq_77_mean,0.0030267925
user_int_feats_95,0.0029972054
user_int_feats_98,0.0028570716
item_int_feats_83,0.0026020634
user_dense_feats_63_mean,0.002554583
domain_b_seq_79_mean,0.0025337457
domain_b_seq_67_len,0.0022949455
domain_c_seq_28_len,0.0022830777
domain_d_seq_26_mean,0.0018788261
domain_d_seq_19_max,0.0016688498
domain_a_seq_38_len,0.0015608775
item_int_feats_84,0.0010782216
domain_c_seq_35_len,0.0
domain_d_seq_22_len,0.0
label_time_hour,0.0
domain_c_seq_36_len,0.0
domain_d_seq_19_len,0.0
domain_d_seq_20_len,0.0
domain_d_seq_21_len,0.0
domain_c_seq_47_len,0.0
domain_c_seq_37_len,0.0
domain_d_seq_26_len,0.0
domain_d_seq_25_max,0.0
domain_d_seq_23_len,0.0
domain_d_seq_25_len,0.0
domain_d_seq_24_max,0.0
domain_d_seq_18_len,0.0
domain_d_seq_17_max,0.0
domain_d_seq_24_len,0.0
domain_d_seq_18_max,0.0
user_int_feats_1,0.0
domain_c_seq_34_len,0.0
domain_c_seq_33_max,0.0
domain_a_seq_42_len,0.0
domain_a_seq_41_max,0.0
domain_a_seq_41_len,0.0
domain_a_seq_40_max,0.0
domain_a_seq_40_len,0.0
user_int_feats_91_mean,0.0
user_int_feats_90_mean,0.0
user_int_feats_89_mean,0.0
user_int_feats_60_mean,0.0
item_int_feats_85,0.0
user_int_feats_109,0.0
user_int_feats_104,0.0
user_int_feats_102,0.0
user_int_feats_101,0.0
user_int_feats_100,0.0
user_int_feats_99,0.0
user_int_feats_51,0.0
user_int_feats_50,0.0
user_int_feats_49,0.0
domain_a_seq_43_len,0.0
domain_a_seq_44_len,0.0
domain_a_seq_45_len,0.0
domain_b_seq_77_len,0.0
domain_c_seq_33_len,0.0
domain_c_seq_32_max,0.0
domain_c_seq_32_len,0.0
domain_c_seq_31_len,0.0
domain_c_seq_30_len,0.0
domain_b_seq_88_len,0.0
domain_b_seq_79_len,0.0
domain_b_seq_78_len,0.0
domain_b_seq_76_len,0.0
domain_a_seq_46_len,0.0
domain_b_seq_75_len,0.0
domain_b_seq_74_len,0.0
domain_b_seq_73_len,0.0
domain_b_seq_72_len,0.0
domain_b_seq_71_len,0.0
domain_b_seq_70_len,0.0
domain_b_seq_68_len,0.0
domain_a_seq_46_max,0.0
label_time_dayofweek,0.0
